asset_id,game_path,source_path,author,source_url,acquired_date,license_name,license_version,license_file,modified,modification_notes,attribution_text,generative_ai,ai_model,ai_snapshot,ai_generated_date,ai_request_id,prompt_file,reference_files,reference_rights,original_sha256,edit_chain_file,human_contribution,similarity_review,commercial_ok,target_platforms_ok,marketing_ok,dlc_ok,status,notes
ui_menu_war_room,res://assets/generated/ui_menu_war_room.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-d6568dea-d652-475a-890c-404fc3e515a4.png,OpenAI GPT Images,,2026-07-19,OpenAI service output,,,true,copied into project and composited under translucent Godot UI,,true,GPT Images built-in imagegen,2026-07-19,2026-07-19,exec-d6568dea-d652-475a-890c-404fc3e515a4,res://assets/generated/ui_menu_war_room.prompt.txt,,not applicable,ea3e0a0841d73b41001ee2bc1ba7dad6257104e444c7e824b1bc3f5b58ef2b56,,prompt art direction and in-engine composition,pending,pending,yes,pending,pending,prototype,Original project-bound NOC war-room menu background with no external references
career_emblems_5x2,res://assets/generated/career_emblems_5x2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-e9c89dee-5ca2-40ed-ae8d-507f6ed0e3ba.png,OpenAI GPT Images,,2026-07-19,OpenAI service output,,,true,copied into project and cropped at runtime with AtlasTexture,,true,GPT Images built-in imagegen,2026-07-19,2026-07-19,exec-e9c89dee-5ca2-40ed-ae8d-507f6ed0e3ba,res://assets/generated/career_emblems_5x2.prompt.txt,,not applicable,bea0a76af3aba181c22c107fab52e536a5ab6d06379b3415d7521d1abfed3824,,prompt art direction ordering and in-engine atlas regions,pending,pending,yes,pending,pending,prototype,Original project-bound ten-career emblem sheet with no external references
arena_war_room_v2,res://assets/generated/arena_war_room_v2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-3e8e5f65-bfdd-46de-b096-d53d7de9ecb1.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,false,copied into project and scaled to the 2400x1350 arena,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-3e8e5f65-bfdd-46de-b096-d53d7de9ecb1,res://assets/generated/arena_war_room_v2.prompt.txt,user-provided visual reference,user supplied style reference,8a2db55c1f5929d3159f84e52edc7d9a8c3748be07ff100e7c2d22d12c978131,,prompt art direction and in-engine scaling,pending,pending,yes,pending,pending,prototype,Original project-bound empty war-room battle arena
career_sprites_5x2,res://assets/generated/career_sprites_5x2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-7f1ee57d-8fd5-4733-9fa9-17b49d9918cb.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,true,chroma key removed and atlas cropped at runtime,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-7f1ee57d-8fd5-4733-9fa9-17b49d9918cb,res://assets/generated/career_sprites_5x2.prompt.txt,user-provided visual reference,user supplied style reference,c58cd7b3062d9d48921c013a2ea7a40b4f2d892cd37095654786f276aa37904c,,prompt ordering; chroma-key removal; in-engine atlas mapping,pending,pending,yes,pending,pending,prototype,Ten distinct playable career sprites
fault_sprites_4x2,res://assets/generated/fault_sprites_4x2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-4607db38-0a05-4f52-b87b-f5286651a1d7.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,true,chroma key removed; runtime size hierarchy and labels added,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-4607db38-0a05-4f52-b87b-f5286651a1d7,res://assets/generated/fault_sprites_4x2.prompt.txt,user-provided visual reference,user supplied style reference,966030b32b1c38a5462cb7233a874d7eb40a11cf2a482aaef5228bb9378ead1b,,prompt ordering; chroma-key removal; runtime atlas mapping,pending,pending,yes,pending,pending,prototype,Five normal failure sprites two elites and one FATAL Boss
combat_hud_overlay,res://assets/generated/combat_hud_overlay.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-29598950-2b6b-4afb-aebe-0e61a01826dc.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,true,chroma key removed and layered beneath live Godot UI controls,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-29598950-2b6b-4afb-aebe-0e61a01826dc,res://assets/generated/combat_hud_overlay.prompt.txt,user-provided visual reference,user supplied style reference,03a40f915e7483e531062bc15cbbfc1070aa8547e0e000c3584e32f5b07643f0,,prompt layout; chroma-key removal; native UI composition,pending,pending,yes,pending,pending,prototype,Border-only five-slot combat HUD ornament
coworker_sprites_4x2,res://assets/generated/coworker_sprites_4x2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-9641f9e4-6b58-4311-a477-4309e1e1d03f.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,true,chroma key removed and mapped to event personas,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-9641f9e4-6b58-4311-a477-4309e1e1d03f,res://assets/generated/coworker_sprites_4x2.prompt.txt,user-provided visual reference,user supplied style reference,d015084d87ba5f10ae8b5e5f65203e6d473cfd4dc7308bb8b0343ea24b6d0e54,,prompt ordering; chroma-key removal; runtime persona mapping,pending,pending,yes,pending,pending,prototype,Eight human pressure-projection and ally personas
skill_icons_5x2,res://assets/generated/skill_icons_5x2.png,/Users/ye/.codex/generated_images/019f7958-c874-7101-90c0-6e985df06e6f/exec-0cae98a2-f24a-45e7-84a1-05fb0f905327.png,OpenAI GPT Images,,2026-07-20,OpenAI service output,,,false,copied into project and cropped at runtime for skill tray and upgrade cards,,true,GPT Images built-in imagegen,2026-07-20,2026-07-20,exec-0cae98a2-f24a-45e7-84a1-05fb0f905327,res://assets/generated/skill_icons_5x2.prompt.txt,user-provided visual reference,user supplied style reference,5ef0667dae093286a00d3f43891f98aa335735ea81886a093fecaf29545c3bbf,,prompt ordering and in-engine atlas mapping,pending,pending,yes,pending,pending,prototype,Ten distinct combat skill icons
ui_font_noto_sans_sc,res://assets/fonts/NotoSansSC-VF.ttf,/Users/ye/fy/tmp/fonts/noto_sans_sc/NotoSansSC-VF.ttf,Adobe and Google Noto,https://github.com/notofonts/noto-cjk,2026-07-20,SIL Open Font License,1.1,res://assets/fonts/OFL.txt,false,unmodified variable font bundled for consistent CJK rendering,Noto Sans SC by Adobe and Google Noto contributors,false,,,,,,,not applicable,a3041811a78c361b1de50f953c805e0244951c21c5bd412f7232ef0d899af0da,,font selection and Godot theme integration,not applicable,yes,yes,yes,yes,production,Full Simplified Chinese glyph coverage for cross-platform UI and canvas text
procedural_audio_library,res://assets/audio/,res://tools/generate_audio_assets.py,iT-BATTLE project,,2026-07-20,Project-owned original,,,false,deterministically synthesized and encoded from the checked-in generator,,false,,,,,,,not applicable,,res://tools/generate_audio_assets.py,composition sound design synthesis and mix implementation,not applicable,yes,yes,yes,yes,production,Two selectable five-track BGM suites and forty-four original SFX with no third-party samples
user_bgm01,res://assets/audio/bgm/user/bgm01.ogg,res://assets/audio/source/BGM01.mp3,yesifu,,2026-07-21,User-provided audio,,,true,MP3 source archived outside Godot import; runtime uses metadata-stripped OGG with -5 dB playback compensation,,false,,,,,,,user supplied,,,runtime music-style selection and mix compensation,pending,pending,pending,pending,pending,prototype,User-provided default background music; source rights to be confirmed by project owner
user_bgm02,res://assets/audio/bgm/user/bgm02.ogg,res://assets/audio/source/BGM02.mp3,yesifu,,2026-07-21,User-provided audio,,,true,MP3 source archived outside Godot import; runtime uses metadata-stripped OGG with -6 dB playback compensation,,false,,,,,,,user supplied,,,runtime music-style selection and mix compensation,pending,pending,pending,pending,pending,prototype,User-provided optional background music; source rights to be confirmed by project owner
artifact_rm_rf,res://assets/generated/artifacts/rm_rf.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,ec6f799f17ef26dd05d18f771dcd2163a154c879056d064a7c8db5a6df5a7435,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound RM -RF artifact icon with no external references
artifact_delete_incidents,res://assets/generated/artifacts/delete_incidents.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,c6f01360634d727eed0cd248b1374d645291aa32dff33c818b283387f95e6b86,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound DELETE incidents artifact icon with no external references
artifact_reinstall_os,res://assets/generated/artifacts/reinstall_os.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,15e7c0e7256173faefcfb57011fe89b5c91f8c4865bed0d5e79c27ffd18c081d,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound reinstall OS artifact icon with no external references
artifact_reboot_device,res://assets/generated/artifacts/reboot_device.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,f789c3b225649b6b5ac0e5a7687e3cd9b803eae11dc3fd1523b5721cd204cb36,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound reboot device artifact icon with no external references
artifact_drop_database_run,res://assets/generated/artifacts/drop_database_run.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,4c79e311373dc64eef7409a8512066e41cb5adeb915747e3ea4d2e258601603d,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound drop database and run artifact icon with no external references
artifact_flush_dns,res://assets/generated/artifacts/flush_dns.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,46977be85232bf5970a13e84f85d23d46d0ca1a5e6007b8a57214005cd25d8bd,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound flush DNS artifact icon with no external references
artifact_kill_minus_9,res://assets/generated/artifacts/kill_minus_9.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,b9ddbccfdd8a378a72733d83ab5b44e7c8009069f938ce8a59874f90722e49f0,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound kill minus 9 artifact icon with no external references
artifact_rollback_previous,res://assets/generated/artifacts/rollback_previous.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,0973c3c45fdd7433b3f23d360706f7289986d2813f7fa9d67a19cdef4d4c8851,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound rollback previous artifact icon with no external references
artifact_works_on_my_machine,res://assets/generated/artifacts/works_on_my_machine.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,4715c45b3432cae9b8fe7efeeae9868e5daea3425f075aee192fc1146cb54f3f,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound works on my machine artifact icon with no external references
artifact_friday_freeze,res://assets/generated/artifacts/friday_freeze.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,7b62d1e618640c415ed60502583ab3eafcf00dd0ba98c3e858a1bcf5481190cd,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound Friday freeze artifact icon with no external references
artifact_snapshot_backup,res://assets/generated/artifacts/snapshot_backup.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,d393437b9c43d6ae61fabfa67b1988429ec7f0b3d468272f801c8fabd60aedda,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound snapshot backup artifact icon with no external references
artifact_sudo_bang_bang,res://assets/generated/artifacts/sudo_bang_bang.png,,OpenAI GPT Images,,2026-07-24,OpenAI service output,,,false,generated directly as final 256x256 project icon,,true,GPT Images built-in imagegen,,2026-07-24,,res://assets/generated/artifacts/artifact_icons.prompt.txt,,not applicable,c8d10065a3278c0c58f9d624ab6e89c292ddca438e2b2ba1a71f6cd7c2c2f915,,prompt art direction and in-engine integration,pending,yes,pending,pending,pending,prototype,Original project-bound sudo bang bang artifact icon with no external references
